  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
              0.331657                         0                                  0                           1.21926                                     0.922028                 -100                          -100                           268                                    178
              0.298741                         0                                  0                           1.27715                                     0.707757                 -100                          -100                           328                                    137
              0.401516                         0                                  0                           1.05737                                     0.785756                 -100                          -100                           163                                     96
              0.306868                         0                                  0                           1.57231                                     0.92195                  -100                          -100                           412                                    200
              0.312221                         0                                  0                           1.07368                                     0.800315                 -100                          -100                           244                                    156
              0.354782                         0                                  0                           1.14302                                     0.700421                 -100                          -100                           222                                     97
              0.348852                         0                                  0                           1.22896                                     0.921666                 -100                          -100                           252                                    164
              0.291831                         0                                  0                           1.15148                                     0.756528                 -100                          -100                           295                                    159
              0.306918                         0                                  0                           1.21247                                     0.732462                 -100                          -100                           295                                    139
              0.601144                         0                                  0                           1.22469                                     0.92109                  -100                          -100                           104                                     53
              0.298919                         0                                  0                           1.12771                                     0.772007                 -100                          -100                           277                                    158
              0.330525                         0                                  0                           0.99664                                     0.846179                 -100                          -100                           202                                    156
              0.357091                         0                                  0                           1.2289                                      0.921674                 -100                          -100                           244                                    158
              0.306137                         0                                  0                           1.01447                                     0.628432                 -100                          -100                           231                                    105
              0.586162                         0                                  0                           1.22852                                     0.614339                 -100                          -100                           110                                      5
              0.334215                         0                                  0                           1.15786                                     0.651586                 -100                          -100                           246                                     95
              0.582964                         0                                  0                           1.22932                                     0.921298                 -100                          -100                           111                                     58
              0.326809                         0                                  0                           0.99363                                     0.850314                 -100                          -100                           204                                    160
              0.317059                         0                                  0                           1.22843                                     0.922151                 -100                          -100                           287                                    191
              0.415432                         0                                  0                           1.22879                                     0.921919                 -100                          -100                           196                                    122
              0.28448                          0                                  0                           1.00532                                     1.07337                  -100                          -100                           253                                    277
              0.436671                         0                                  0                           1.0118                                      0.83289                  -100                          -100                           132                                     91
              0.336096                         0                                  0                           0.97415                                     0.869521                 -100                          -100                           190                                    159
              0.323994                         0                                  0                           1.01322                                     0.830331                 -100                          -100                           213                                    156
              0.572292                         0                                  0                           1.22954                                     0.921075                 -100                          -100                           115                                     61
              0.299708                         0                                  0                           1.0489                                      0.823471                 -100                          -100                           250                                    175
              0.363082                         0                                  0                           1.08458                                     0.758919                 -100                          -100                           199                                    109
              0.291117                         0                                  0                           1.2907                                      0.921612                 -100                          -100                           343                                    217
              0.329813                         0                                  0                           1.22918                                     0.698634                 -100                          -100                           273                                    112
              0.569286                         0                                  0                           1.22895                                     0.921767                 -100                          -100                           116                                     62
              0.30135                          0                                  0                           1.26166                                     0.919447                 -100                          -100                           319                                    205
              0.32806                          0                                  0                           1.04008                                     0.695989                 -100                          -100                           217                                    112
              0.322458                         0                                  0                           1.22917                                     0.92192                  -100                          -100                           281                                    186
              0.472586                         0                                  0                           1.01673                                     0.679226                 -100                          -100                           115                                     44
