  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
----------------------  ------------------------  ---------------------------------  ---------------------------------  ------------------------------------------  -------------------  ----------------------------  ----------------------------  -------------------------------------
              0.743037                  1.01204                             5.83752                           0.920829                                     5.22402                   36                           686                            24                                    603
              0.393625                  0.799858                            4.91625                           0.801691                                     5.6487                   103                          1149                           104                                   1335
              0.371147                  0.703068                            4.82729                           0.92621                                      5.08157                   89                          1201                           150                                   1269
              0.425177                  0.78522                             5.73492                           0.922085                                     5.83697                   85                          1249                           117                                   1273
              0.421772                  0.921496                            5.18568                           0.958243                                     5.5295                   118                          1129                           127                                   1211
              0.39462                   0.978276                            5.47355                           0.921442                                     5.22283                  148                          1287                           134                                   1224
              0.38786                   0.774016                            5.3704                            0.92209                                      5.53077                  100                          1285                           138                                   1326
              0.391579                  0.813105                            5.33159                           0.921481                                     5.52987                  108                          1262                           135                                   1312
              0.420568                  0.921861                            5.52955                           0.921213                                     5.22258                  119                          1215                           119                                   1142
              0.346138                  1.01648                             5.83837                           0.920605                                     5.22214                  194                          1587                           166                                   1409
              0.5859                    0.923718                            5.82539                           0.932339                                     5.22249                   58                           894                            59                                    791
              0.419895                  0.922182                            5.52973                           0.921577                                     5.2232                   120                          1217                           119                                   1144
              0.712989                  0.681291                            5.15431                           0.921873                                     5.22251                   -4                           623                            29                                    632
              0.39495                   0.921831                            5.22259                           0.921847                                     4.9152                   133                          1222                           133                                   1145
              0.596624                  0.921684                            5.223                             0.921287                                     5.22236                   54                           775                            54                                    775
              0.412797                  0.92184                             5.53                              0.921636                                     5.83991                  123                          1240                           123                                   1315
              0.424835                  0.92176                             5.22219                           0.921654                                     5.22255                  117                          1129                           117                                   1129
              0.438959                  0.92201                             5.52965                           0.921993                                     5.02417                  110                          1160                           110                                   1045
              0.513958                  0.716981                            5.53005                           0.921476                                     5.40504                   40                           976                            79                                    952
              0.544436                  0.680024                            5.15677                           0.727098                                     5.10989                   25                           847                            34                                    839
