  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
----------------------  ------------------------  ---------------------------------  ---------------------------------  ------------------------------------------  -------------------  ----------------------------  ----------------------------  -------------------------------------
              0.832595                         0                                  0                           1.0005                                      1.15585                  -100                          -100                            20                                     39
              0.660763                         0                                  0                           1.01562                                     1.13482                  -100                          -100                            54                                     72
              0.4658                           0                                  0                           1.22798                                     0.922561                 -100                          -100                           164                                     98
              0.566436                         0                                  0                           1.22761                                     0.92127                  -100                          -100                           117                                     63
              0.640112                         0                                  0                           1.22885                                     1.22828                  -100                          -100                            92                                     92
              0.607576                         0                                  0                           1.22896                                     0.921753                 -100                          -100                           102                                     52
              0.519187                         0                                  0                           1.2293                                      1.22909                  -100                          -100                           137                                    137
              0.582182                         0                                  0                           1.22881                                     1.22904                  -100                          -100                           111                                    111
              0.625354                         0                                  0                           0.921803                                    0.946955                 -100                          -100                            47                                     51
              0.594222                         0                                  0                           1.2287                                      0.92168                  -100                          -100                           107                                     55
              0.559954                         0                                  0                           1.22928                                     1.22893                  -100                          -100                           120                                    119
              0.608569                         0                                  0                           0.921658                                    0.885671                 -100                          -100                            51                                     46
              0.413844                         0                                  0                           0.920753                                    0.851023                 -100                          -100                           122                                    106
              0.950764                         0                                  0                           0.945152                                    0.89829                  -100                          -100                            -1                                     -6
              0.384119                         0                                  0                           1.15013                                     0.895623                 -100                          -100                           199                                    133
              0.648355                         0                                  0                           0.922271                                    0.929855                 -100                          -100                            42                                     43
              0.602867                         0                                  0                           1.22936                                     0.891347                 -100                          -100                           104                                     48
              0.443195                         0                                  0                           1.14322                                     1.11307                  -100                          -100                           158                                    151
              0.449714                         0                                  0                           1.24154                                     1.22913                  -100                          -100                           176                                    173
              0.628592                         0                                  0                           0.921625                                    0.921138                 -100                          -100                            47                                     47
              0.650613                         0                                  0                           0.924046                                    1.22776                  -100                          -100                            42                                     89
              0.545001                         0                                  0                           0.920546                                    0.897013                 -100                          -100                            69                                     65
              0.660277                         0                                  0                           0.921779                                    1.22833                  -100                          -100                            40                                     86
              0.632618                         0                                  0                           0.921025                                    1.22846                  -100                          -100                            46                                     94
              0.645844                         0                                  0                           0.92199                                     0.920213                 -100                          -100                            43                                     42
              0.640347                         0                                  0                           0.922388                                    1.22818                  -100                          -100                            44                                     92
              0.66208                          0                                  0                           1.22897                                     0.921716                 -100                          -100                            86                                     39
              0.63288                          0                                  0                           0.921466                                    1.22995                  -100                          -100                            46                                     94
              0.65483                          0                                  0                           0.921577                                    0.902404                 -100                          -100                            41                                     38
              0.489328                         0                                  0                           1.08927                                     1.22781                  -100                          -100                           123                                    151
              0.663217                         0                                  0                           1.22902                                     1.22884                  -100                          -100                            85                                     85
              0.622736                         0                                  0                           0.921635                                    1.22918                  -100                          -100                            48                                     97
              0.650237                         0                                  0                           1.22869                                     0.875832                 -100                          -100                            89                                     35
              0.68804                          0                                  0                           0.922155                                    0.800719                 -100                          -100                            34                                     16
              0.775078                         0                                  0                           0.921593                                    1.22928                  -100                          -100                            19                                     59
              0.628062                         0                                  0                           0.921681                                    1.10148                  -100                          -100                            47                                     75
              0.453666                         0                                  0                           0.921481                                    0.862292                 -100                          -100                           103                                     90
              0.707506                         0                                  0                           0.91932                                     0.93107                  -100                          -100                            30                                     32
              0.604309                         0                                  0                           0.921575                                    0.921864                 -100                          -100                            53                                     53
              0.621315                         0                                  0                           0.921568                                    0.921357                 -100                          -100                            48                                     48
              0.642513                         0                                  0                           1.22948                                     1.22869                  -100                          -100                            91                                     91
              0.632339                         0                                  0                           0.921763                                    0.921032                 -100                          -100                            46                                     46
              0.648257                         0                                  0                           0.921601                                    0.921465                 -100                          -100                            42                                     42
              0.592486                         0                                  0                           0.922169                                    1.22821                  -100                          -100                            56                                    107
              0.492439                         0                                  0                           0.921739                                    0.92165                  -100                          -100                            87                                     87
              0.6347                           0                                  0                           1.05121                                     1.09928                  -100                          -100                            66                                     73
              0.636497                         0                                  0                           1.22895                                     1.22863                  -100                          -100                            93                                     93
              0.638618                         0                                  0                           0.895866                                    1.2547                   -100                          -100                            40                                     96
              0.518669                         0                                  0                           1.01318                                     0.921345                 -100                          -100                            95                                     78
              0.659288                         0                                  0                           0.875499                                    0.967881                 -100                          -100                            33                                     47
              0.628855                         0                                  0                           1.22878                                     0.921434                 -100                          -100                            95                                     47
              0.627322                         0                                  0                           0.921847                                    0.921676                 -100                          -100                            47                                     47
              0.658614                         0                                  0                           0.922118                                    0.921239                 -100                          -100                            40                                     40
              0.634672                         0                                  0                           1.22797                                     0.922231                 -100                          -100                            93                                     45
              0.419369                         0                                  0                           0.884012                                    0.873046                 -100                          -100                           111                                    108
              0.51144                          0                                  0                           1.35275                                     1.22278                  -100                          -100                           164                                    139
              1.16026                          0                                  0                           1.03911                                     0.921426                 -100                          -100                           -10                                    -21
              0.807608                         0                                  0                           0.84034                                     1.00284                  -100                          -100                             4                                     24
              0.641632                         0                                  0                           0.850768                                    0.99217                  -100                          -100                            33                                     55
              0.647106                         0                                  0                           0.922375                                    0.921485                 -100                          -100                            43                                     42
              0.639379                         0                                  0                           0.921804                                    1.2289                   -100                          -100                            44                                     92
              0.577432                         0                                  0                           0.92998                                     0.920558                 -100                          -100                            61                                     59
              0.642456                         0                                  0                           0.921625                                    0.92164                  -100                          -100                            43                                     43
              0.885988                         0                                  0                           1.53598                                     0.921853                 -100                          -100                            73                                      4
              0.432124                         0                                  0                           1.1272                                      0.92159                  -100                          -100                           161                                    113
              0.439839                         0                                  0                           1.09649                                     1.22887                  -100                          -100                           149                                    179
              0.592124                         0                                  0                           0.921841                                    0.921528                 -100                          -100                            56                                     56
              0.634527                         0                                  0                           0.921312                                    0.921635                 -100                          -100                            45                                     45
              0.649328                         0                                  0                           0.922178                                    1.22854                  -100                          -100                            42                                     89
              0.632951                         0                                  0                           1.22922                                     0.80662                  -100                          -100                            94                                     27
              0.437838                         0                                  0                           0.916681                                    1.03643                  -100                          -100                           109                                    137
              0.517058                         0                                  0                           0.922158                                    0.921063                 -100                          -100                            78                                     78
              0.633949                         0                                  0                           0.921834                                    0.90394                  -100                          -100                            45                                     43
              0.653441                         0                                  0                           0.921088                                    0.921917                 -100                          -100                            41                                     41
              0.630982                         0                                  0                           1.22856                                     0.921702                 -100                          -100                            95                                     46
              0.605599                         0                                  0                           0.921792                                    0.921603                 -100                          -100                            52                                     52
              0.625654                         0                                  0                           0.921887                                    0.921237                 -100                          -100                            47                                     47
              0.636066                         0                                  0                           0.92161                                     0.92205                  -100                          -100                            45                                     45
              0.596782                         0                                  0                           0.921588                                    0.921488                 -100                          -100                            54                                     54
              0.626558                         0                                  0                           1.22733                                     1.22876                  -100                          -100                            96                                     96
              0.635596                         0                                  0                           1.22808                                     1.22926                  -100                          -100                            93                                     93
              0.659166                         0                                  0                           0.921483                                    0.921714                 -100                          -100                            40                                     40
              0.613623                         0                                  0                           0.921666                                    0.849751                 -100                          -100                            50                                     38
              0.713154                         0                                  0                           1.22847                                     0.921345                 -100                          -100                            72                                     29
              0.633014                         0                                  0                           0.922729                                    0.948546                 -100                          -100                            46                                     50
              0.49588                          0                                  0                           0.861342                                    0.981845                 -100                          -100                            74                                     98
              0.580915                         0                                  0                           0.921888                                    0.921577                 -100                          -100                            59                                     59
              0.624201                         0                                  0                           0.921889                                    1.2286                   -100                          -100                            48                                     97
              0.450186                         0                                  0                           1.11194                                     1.22866                  -100                          -100                           147                                    173
              0.633629                         0                                  0                           0.922805                                    1.22793                  -100                          -100                            46                                     94
              0.635013                         0                                  0                           0.872849                                    0.970518                 -100                          -100                            37                                     53
              0.650464                         0                                  0                           0.921477                                    0.92166                  -100                          -100                            42                                     42
              0.647281                         0                                  0                           1.229                                       0.921549                 -100                          -100                            90                                     42
              0.419893                         0                                  0                           1.0016                                      0.792732                 -100                          -100                           139                                     89
              0.584688                         0                                  0                           0.921763                                    0.921351                 -100                          -100                            58                                     58
              0.657431                         0                                  0                           0.921891                                    0.921549                 -100                          -100                            40                                     40
              0.648823                         0                                  0                           0.921443                                    0.921715                 -100                          -100                            42                                     42
              0.623556                         0                                  0                           0.921374                                    0.922128                 -100                          -100                            48                                     48
              0.66095                          0                                  0                           0.921261                                    0.922071                 -100                          -100                            39                                     40
              0.746233                         0                                  0                           1.11598                                     0.921554                 -100                          -100                            50                                     23
              0.607718                         0                                  0                           1.22921                                     1.22859                  -100                          -100                           102                                    102
              0.643206                         0                                  0                           0.92178                                     0.921896                 -100                          -100                            43                                     43
              0.625165                         0                                  0                           0.921736                                    0.921346                 -100                          -100                            47                                     47
              0.612645                         0                                  0                           0.921847                                    0.921241                 -100                          -100                            50                                     50
              0.514172                         0                                  0                           0.9218                                      0.921866                 -100                          -100                            79                                     79
              0.633127                         0                                  0                           0.9218                                      0.921728                 -100                          -100                            46                                     46
              0.631714                         0                                  0                           0.893346                                    0.949776                 -100                          -100                            41                                     50
              0.647865                         0                                  0                           0.921304                                    0.921821                 -100                          -100                            42                                     42
              0.595609                         0                                  0                           0.921918                                    1.2285                   -100                          -100                            55                                    106
              0.637643                         0                                  0                           0.922086                                    1.22862                  -100                          -100                            45                                     93
              0.646344                         0                                  0                           0.921649                                    0.921784                 -100                          -100                            43                                     43
              0.639385                         0                                  0                           0.880176                                    0.96305                  -100                          -100                            38                                     51
              0.657765                         0                                  0                           1.22795                                     0.922506                 -100                          -100                            87                                     40
              0.661292                         0                                  0                           1.22907                                     0.921529                 -100                          -100                            86                                     39
              0.545701                         0                                  0                           1.00031                                     0.922025                 -100                          -100                            83                                     69
              0.641127                         0                                  0                           0.921534                                    0.921729                 -100                          -100                            44                                     44
              0.629998                         0                                  0                           0.922272                                    1.22844                  -100                          -100                            46                                     95
              0.647128                         0                                  0                           0.922071                                    0.921791                 -100                          -100                            42                                     42
              0.720358                         0                                  0                           0.942589                                    1.20782                  -100                          -100                            31                                     68
              0.392304                         0                                  0                           0.886799                                    0.894893                 -100                          -100                           126                                    128
              0.615047                         0                                  0                           0.931955                                    0.924592                 -100                          -100                            52                                     50
              0.611008                         0                                  0                           0.961103                                    0.850323                 -100                          -100                            57                                     39
              0.410024                         0                                  0                           0.952774                                    0.826446                 -100                          -100                           132                                    102
              0.995153                         0                                  0                           0.921684                                    0.82038                  -100                          -100                            -7                                    -18
              0.737042                         0                                  0                           0.921387                                    1.22923                  -100                          -100                            25                                     67
              0.63925                          0                                  0                           0.921673                                    0.921622                 -100                          -100                            44                                     44
              0.661133                         0                                  0                           1.22926                                     0.921435                 -100                          -100                            86                                     39
              0.659427                         0                                  0                           1.0415                                      1.10913                  -100                          -100                            58                                     68
              0.546573                         0                                  0                           0.924915                                    0.919061                 -100                          -100                            69                                     68
              0.404659                         0                                  0                           0.922182                                    1.22864                  -100                          -100                           128                                    204
              0.650906                         0                                  0                           0.923979                                    0.91959                  -100                          -100                            42                                     41
              0.655536                         0                                  0                           1.2288                                      0.921573                 -100                          -100                            87                                     41
              0.396259                         0                                  0                           0.85757                                     1.2287                   -100                          -100                           116                                    210
              0.630232                         0                                  0                           0.921647                                    0.921715                 -100                          -100                            46                                     46
              0.613981                         0                                  0                           1.22959                                     0.921229                 -100                          -100                           100                                     50
              0.426625                         0                                  0                           0.915146                                    0.838526                 -100                          -100                           115                                     97
              0.658491                         0                                  0                           0.921782                                    0.921669                 -100                          -100                            40                                     40
              0.63482                          0                                  0                           0.921605                                    0.943072                 -100                          -100                            45                                     49
              0.598474                         0                                  0                           0.922224                                    0.921011                 -100                          -100                            54                                     54
              0.527017                         0                                  0                           0.922782                                    0.921018                 -100                          -100                            75                                     75
              0.617435                         0                                  0                           0.921846                                    1.22849                  -100                          -100                            49                                     99
              0.63263                          0                                  0                           1.22609                                     1.22942                  -100                          -100                            94                                     94
              0.720937                         0                                  0                           1.22889                                     1.53525                  -100                          -100                            70                                    113
              0.550602                         0                                  0                           1.22952                                     1.229                    -100                          -100                           123                                    123
              0.622205                         0                                  0                           0.921961                                    0.921515                 -100                          -100                            48                                     48
