  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
              0.609919                         0                                  0                           1.12632                                     1.33151                  -100                          -100                            85                                    118
              0.54893                          0                                  0                           1.22884                                     1.2288                   -100                          -100                           124                                    124
              0.649264                         0                                  0                           1.22881                                     1.22835                  -100                          -100                            89                                     89
              0.670397                         0                                  0                           1.22922                                     1.22914                  -100                          -100                            83                                     83
              0.658946                         0                                  0                           1.22924                                     1.53588                  -100                          -100                            87                                    133
              0.670782                         0                                  0                           1.22885                                     1.22926                  -100                          -100                            83                                     83
              0.487491                         0                                  0                           1.04839                                     1.53661                  -100                          -100                           115                                    215
              0.659087                         0                                  0                           1.22925                                     1.22822                  -100                          -100                            87                                     86
              0.652945                         0                                  0                           1.22896                                     1.22902                  -100                          -100                            88                                     88
              0.639374                         0                                  0                           1.02118                                     1.43449                  -100                          -100                            60                                    124
              0.648339                         0                                  0                           1.229                                       1.22965                  -100                          -100                            90                                     90
              0.647333                         0                                  0                           1.22885                                     1.22857                  -100                          -100                            90                                     90
              0.65742                          0                                  0                           1.22898                                     1.2288                   -100                          -100                            87                                     87
              0.515943                         0                                  0                           1.22885                                     1.22853                  -100                          -100                           138                                    138
              0.517531                         0                                  0                           1.22874                                     1.22911                  -100                          -100                           137                                    137
              0.651216                         0                                  0                           1.23002                                     2.14965                  -100                          -100                            89                                    230
              0.649471                         0                                  0                           1.22864                                     1.53565                  -100                          -100                            89                                    136
              0.635426                         0                                  0                           1.22923                                     1.11309                  -100                          -100                            93                                     75
              0.710542                         0                                  0                           1.22957                                     1.22882                  -100                          -100                            73                                     73
              0.644928                         0                                  0                           1.22914                                     1.27889                  -100                          -100                            91                                     98
              0.545025                         0                                  0                           1.22887                                     1.22938                  -100                          -100                           125                                    126
              0.632026                         0                                  0                           1.22913                                     1.22884                  -100                          -100                            94                                     94
              0.587835                         0                                  0                           1.22899                                     1.23113                  -100                          -100                           109                                    109
              0.453512                         0                                  0                           1.10809                                     1.23036                  -100                          -100                           144                                    171
              0.426166                         0                                  0                           1.12674                                     1.53714                  -100                          -100                           164                                    261
              0.666876                         0                                  0                           1.22871                                     1.2301                   -100                          -100                            84                                     84
              0.636588                         0                                  0                           1.22912                                     1.22828                  -100                          -100                            93                                     93
              0.562091                         0                                  0                           1.22935                                     1.22945                  -100                          -100                           119                                    119
              0.627319                         0                                  0                           1.22856                                     1.53596                  -100                          -100                            96                                    145
              0.629384                         0                                  0                           1.22847                                     1.22927                  -100                          -100                            95                                     95
              0.642544                         0                                  0                           1.22926                                     1.22851                  -100                          -100                            91                                     91
              0.640863                         0                                  0                           1.2286                                      1.53633                  -100                          -100                            92                                    140
              0.477285                         0                                  0                           1.40216                                     1.53567                  -100                          -100                           194                                    222
              0.596247                         0                                  0                           1.23186                                     1.53433                  -100                          -100                           107                                    157
              0.633229                         0                                  0                           1.22897                                     1.5359                   -100                          -100                            94                                    143
              0.568491                         0                                  0                           1.22957                                     1.5358                   -100                          -100                           116                                    170
              0.665543                         0                                  0                           1.22911                                     1.22926                  -100                          -100                            85                                     85
              0.657864                         0                                  0                           1.22922                                     1.53871                  -100                          -100                            87                                    134
              0.658832                         0                                  0                           1.22893                                     1.23099                  -100                          -100                            87                                     87
              0.663656                         0                                  0                           1.22942                                     1.22684                  -100                          -100                            85                                     85
              0.653298                         0                                  0                           1.09253                                     1.3654                   -100                          -100                            67                                    109
              0.588939                         0                                  0                           1.22912                                     1.22814                  -100                          -100                           109                                    109
              0.383739                         0                                  0                           1.17145                                     1.11019                  -100                          -100                           205                                    189
              0.464621                         0                                  0                           1.2292                                      1.22846                  -100                          -100                           165                                    164
              0.647906                         0                                  0                           1.53533                                     1.22856                  -100                          -100                           137                                     90
              0.517395                         0                                  0                           1.04869                                     1.22843                  -100                          -100                           103                                    137
              0.620111                         0                                  0                           1.22898                                     1.2283                   -100                          -100                            98                                     98
              0.480293                         0                                  0                           1.08847                                     1.02856                  -100                          -100                           127                                    114
              0.45248                          0                                  0                           1.08509                                     1.39091                  -100                          -100                           140                                    207
              0.654341                         0                                  0                           1.2279                                      1.53605                  -100                          -100                            88                                    135
              0.625302                         0                                  0                           1.02874                                     1.42875                  -100                          -100                            65                                    128
              0.65792                          0                                  0                           1.22907                                     1.22944                  -100                          -100                            87                                     87
              0.644459                         0                                  0                           1.22871                                     1.16763                  -100                          -100                            91                                     81
              0.484355                         0                                  0                           1.02277                                     1.53669                  -100                          -100                           111                                    217
              0.629943                         0                                  0                           1.22864                                     1.22799                  -100                          -100                            95                                     95
              0.644118                         0                                  0                           1.22902                                     1.22834                  -100                          -100                            91                                     91
              0.653222                         0                                  0                           1.2285                                      1.53634                  -100                          -100                            88                                    135
              0.60835                          0                                  0                           1.22928                                     1.22863                  -100                          -100                           102                                    102
              0.639085                         0                                  0                           1.22923                                     1.22998                  -100                          -100                            92                                     92
              0.64913                          0                                  0                           1.22848                                     1.22967                  -100                          -100                            89                                     89
              0.646906                         0                                  0                           1.22917                                     1.22884                  -100                          -100                            90                                     90
              0.662476                         0                                  0                           1.22934                                     1.22854                  -100                          -100                            86                                     85
              0.665294                         0                                  0                           1.11593                                     1.0292                   -100                          -100                            68                                     55
              0.6539                           0                                  0                           1.08273                                     1.68226                  -100                          -100                            66                                    157
              0.636019                         0                                  0                           1.22967                                     1.53541                  -100                          -100                            93                                    141
              0.636271                         0                                  0                           1.03801                                     1.41925                  -100                          -100                            63                                    123
              0.631026                         0                                  0                           1.2291                                      1.22826                  -100                          -100                            95                                     95
              0.546216                         0                                  0                           1.22867                                     1.22873                  -100                          -100                           125                                    125
