  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
              0.337293                  1.08224                             1.84333                           1.2288                                      0.739999                  221                           447                           264                                    119
              0.591076                  1.04955                             2.22654                           1.26361                                     0.668314                   78                           277                           114                                     13
              0.320807                  1.06286                             1.51835                           1.08732                                     0.773502                  231                           373                           239                                    141
              0.415765                  1.15263                             1.94561                           0.989954                                    0.708537                  177                           368                           138                                     70
              0.349066                  0.899455                            1.61271                           1.12985                                     0.803436                  158                           362                           224                                    130
              0.316366                  1.00331                             1.73154                           1.11118                                     0.703762                  217                           447                           251                                    122
              0.364731                  0.957639                            1.49894                           1.12762                                     0.669374                  163                           311                           209                                     84
              0.298741                  1.15543                             1.80807                           1.57204                                     0.720946                  287                           505                           426                                    141
              0.355607                  0.916923                            1.84753                           1.22961                                     0.675009                  158                           420                           246                                     90
              0.59594                   1.22904                             1.74114                           1.33099                                     0.693857                  106                           192                           123                                     16
              0.421539                  0.908577                            1.76847                           1.27349                                     0.921925                  116                           320                           202                                    119
              0.42445                   0.945583                            1.84414                           1.18389                                     0.673179                  123                           334                           179                                     59
              0.31645                   1.00034                             1.70725                           1.3116                                      0.731111                  216                           440                           314                                    131
              0.296587                  1.14672                             1.74881                           1.22986                                     0.921172                  287                           490                           315                                    211
              0.491404                  0.966519                            1.63557                           1.10763                                     0.692311                   97                           233                           125                                     41
              0.291037                  0.997379                            1.71584                           1.06381                                     0.68002                   243                           490                           266                                    134
              0.544011                  1.00248                             1.82983                           1.22888                                     0.920595                   84                           236                           126                                     69
              0.447966                  1.22888                             1.84409                           1.22807                                     0.921862                  174                           312                           174                                    106
              0.455031                  1.22873                             1.84295                           1.22911                                     0.676508                  170                           305                           170                                     49
              0.385781                  1.12616                             1.63876                           1.06145                                     0.661873                  192                           325                           175                                     72
              0.289544                  1.03194                             1.61751                           1.27595                                     0.921481                  256                           459                           341                                    218
              0.387951                  0.930308                            1.83429                           1.22888                                     0.921443                  140                           373                           217                                    138
              0.417976                  1.22869                             1.84334                           1.06854                                     0.77489                   194                           341                           156                                     85
              0.329678                  1.33708                             1.84271                           1.53594                                     0.921626                  306                           459                           366                                    180
              0.456015                  1.22875                             1.84353                           1.21317                                     0.936913                  169                           304                           166                                    105
              0.391893                  1.09674                             1.66791                           1.22934                                     0.921417                  180                           326                           214                                    135
              0.461044                  1.22887                             1.84287                           1.07986                                     0.763315                  167                           300                           134                                     66
              0.389225                  1.22937                             1.84318                           0.997453                                    0.678947                  216                           374                           156                                     74
              0.303897                  1.16607                             1.9034                            1.22865                                     0.656586                  284                           526                           304                                    116
              0.414529                  1.22893                             1.84343                           1.22885                                     0.750853                  196                           345                           196                                     81
              0.319203                  0.925447                            1.84222                           1.22586                                     0.921944                  190                           477                           284                                    189
              0.401086                  1.0931                              1.67226                           1.22843                                     0.83687                   173                           317                           206                                    109
              0.510208                  1.2288                              1.84321                           1.23499                                     0.672029                  141                           261                           142                                     32
              0.380384                  0.933482                            1.8311                            1.2291                                      0.635865                  145                           381                           223                                     67
              0.458128                  0.921525                            1.84322                           1.33666                                     0.711401                  101                           302                           192                                     55
              0.324469                  1.12201                             1.76424                           1.03798                                     0.749459                  246                           444                           220                                    131
              0.308551                  0.921883                            1.65004                           1.42208                                     0.921055                  199                           435                           361                                    199
              0.447888                  1.22857                             1.79612                           1.26358                                     0.713381                  174                           301                           182                                     59
              0.381358                  1.23308                             1.84268                           1.22951                                     0.921518                  223                           383                           222                                    142
              0.727674                  1.2292                              2.15077                           1.22869                                     0.921761                   69                           196                            69                                     27
              0.367175                  1.22892                             1.84369                           1.53581                                     0.921629                  235                           402                           318                                    151
              0.329328                  1.22993                             1.70509                           1.06263                                     0.91948                   273                           418                           223                                    179
              0.669994                  1.22761                             1.85209                           1.17083                                     0.662885                   83                           176                            75                                     -1
              0.443331                  1.28523                             1.64351                           1.37274                                     0.921053                  190                           271                           210                                    108
              0.456804                  1.22817                             1.84322                           1.53628                                     0.922806                  169                           304                           236                                    102
              0.347064                  0.999815                            1.64727                           1.11777                                     0.921337                  188                           375                           222                                    165
              0.673147                  1.25558                             1.81682                           1.22876                                     1.22887                    87                           170                            83                                     83
              0.356156                  1.22348                             1.67212                           1.39984                                     0.921664                  244                           369                           293                                    159
              0.425115                  1.14219                             1.92984                           1.53616                                     0.921357                  169                           354                           261                                    117
              0.410586                  1.22911                             1.84337                           1.22816                                     0.922032                  199                           349                           199                                    125
              0.451256                  1.35084                             1.72132                           1.53624                                     0.921212                  199                           281                           240                                    104
              0.394966                  1.22925                             1.84317                           1.22918                                     0.921149                  211                           367                           211                                    133
