  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
----------------------  ------------------------  ---------------------------------  ---------------------------------  ------------------------------------------  -------------------  ----------------------------  ----------------------------  -------------------------------------
              0.74906                   1.12956                             1.84354                           1.22857                                     0.921789                   51                           146                            64                                     23
              0.505125                  1.00115                             1.74223                           1.09818                                     0.721849                   98                           245                           117                                     43
              0.500782                  1.04934                             1.77362                           1.17099                                     0.921857                  110                           254                           134                                     84
              0.394653                  0.956631                            1.73653                           1.01254                                     0.901792                  142                           340                           157                                    129
              0.348258                  1.22928                             1.65154                           1.23041                                     0.804535                  253                           374                           253                                    131
              0.320591                  1.299                               1.92124                           1.16336                                     0.708227                  305                           499                           263                                    121
              0.368826                  1.22961                             1.8426                            1.22971                                     0.783432                  233                           400                           233                                    112
              0.587426                  1.22964                             1.84313                           1.22877                                     0.921451                  109                           214                           109                                     57
              0.35548                   1.20671                             1.66183                           1.20855                                     0.922046                  239                           367                           240                                    159
              0.330332                  0.929845                            2.25025                           1.22825                                     0.921884                  181                           581                           272                                    179
              0.435961                  1.5355                              2.76482                           1.53628                                     0.921394                  252                           534                           252                                    111
              0.628826                  1.22906                             1.66315                           1.01677                                     0.699212                   95                           164                            62                                     11
              0.331155                  0.915815                            1.9356                            1.06506                                     0.781865                  177                           485                           222                                    136
              0.434259                  1.22933                             1.84285                           1.22824                                     0.922799                  183                           324                           183                                    112
              0.386835                  1.22904                             1.84331                           1.38709                                     0.762962                  218                           377                           259                                     97
              0.342764                  1.0885                              1.90089                           1.13062                                     0.864369                  218                           455                           230                                    152
              0.434976                  0.948098                            1.65135                           1.06121                                     0.766338                  118                           280                           144                                     76
              0.320478                  0.940042                            1.82478                           1.22938                                     0.921702                  193                           469                           284                                    188
              0.438011                  1.22909                             1.54555                           1.18315                                     0.664745                  181                           253                           170                                     52
              0.316422                  0.998511                            1.68768                           1.40733                                     0.921795                  216                           433                           345                                    191
              0.444598                  1.22964                             1.84279                           1.1753                                      0.975138                  177                           314                           164                                    119
              0.305483                  1.05303                             2.15022                           1.22903                                     0.921527                  245                           604                           302                                    202
              0.35835                   1.17103                             1.84763                           1.27541                                     0.720307                  227                           416                           256                                    101
              0.429976                  1.15919                             1.69201                           1.14273                                     0.921056                  170                           294                           166                                    114
              0.478058                  1.53825                             2.1495                            1.4041                                      1.05355                   222                           350                           194                                    120
              0.345532                  1.42326                             1.77849                           1.23511                                     0.677782                  312                           415                           257                                     96
              0.457417                  1.31459                             1.84334                           1.53614                                     1.01567                   187                           303                           236                                    122
              0.401366                  1.49383                             3.23969                           1.53641                                     0.895264                  272                           707                           283                                    123
              1.0365                    1.38899                             1.69881                           1.55236                                     0.875447                   34                            64                            50                                    -16
              0.47737                   1.07813                             1.99471                           1.17817                                     0.971415                  126                           318                           147                                    103
              0.432167                  1.2292                              2.76615                           1.16543                                     0.67608                   184                           540                           170                                     56
              0.31136                   1.03662                             1.72984                           1.0495                                      0.801628                  233                           456                           237                                    157
              0.348207                  1.17361                             2.01133                           1.24609                                     0.903607                  237                           478                           258                                    160
              0.330425                  1.0549                              1.97039                           1.14891                                     1.0084                    219                           496                           248                                    205
              0.394432                  1.09152                             1.85539                           1.1962                                      0.706534                  177                           370                           203                                     79
              0.409207                  1.22994                             1.52997                           1.04937                                     0.798669                  201                           274                           156                                     95
              0.368145                  1.06149                             1.71134                           1.31999                                     0.921423                  188                           365                           259                                    150
              0.466461                  1.22923                             1.84299                           1.22899                                     0.714319                  164                           295                           163                                     53
              0.375923                  1.1488                              1.83424                           1.15596                                     0.658163                  206                           388                           207                                     75
              0.32721                   1.24617                             2.34885                           1.23018                                     0.830332                  281                           618                           276                                    154
              0.546988                  1.22873                             1.65009                           1.13861                                     0.703052                  125                           202                           108                                     29
              0.329066                  1.22798                             1.84303                           1.48599                                     0.755099                  273                           460                           352                                    129
              0.354036                  1.26472                             2.03418                           1.19017                                     0.717719                  257                           475                           236                                    103
              0.386058                  1.18864                             1.89651                           1.53619                                     0.708926                  208                           391                           298                                     84
              0.343559                  1.05257                             3.24321                           1.53763                                     1.53426                   206                           844                           348                                    347
              1.26764                   1.26359                             1.88459                           1.49415                                     0.84666                    -0                            49                            18                                    -33
              0.309302                  1.08342                             1.47358                           1.59851                                     0.813487                  250                           376                           417                                    163
              0.344218                  1.17141                             1.62808                           1.09561                                     0.868669                  240                           373                           218                                    152
              0.486697                  0.921932                            1.77182                           1.29979                                     0.92223                    89                           264                           167                                     89
              0.419013                  1.22874                             1.84302                           1.36893                                     1.08844                   193                           340                           227                                    160
              0.505339                  1.06346                             1.90556                           1.27621                                     0.816846                  110                           277                           153                                     62
              0.557645                  1.22867                             1.66073                           1.07904                                     0.946881                  120                           198                            93                                     70
              0.43083                   0.98461                             1.78022                           1.22845                                     0.922388                  129                           313                           185                                    114
