  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
              0.339867                  1.02394                             1.67942                           0.982781                                     1.63872                  201                           394                           189                                    382
              0.326641                  1.02372                             1.843                             1.02473                                      1.50554                  213                           464                           214                                    361
              0.39488                   1.0245                              1.74074                           1.22891                                      1.73997                  159                           341                           211                                    341
              0.425718                  1.02442                             1.59118                           0.969747                                     1.57585                  141                           274                           128                                    270
              0.406312                  1.0242                              1.74042                           1.02412                                      1.63871                  152                           328                           152                                    303
              0.347604                  1.02411                             1.66227                           0.999793                                     1.63846                  195                           378                           188                                    371
              0.330019                  1.02468                             1.74025                           1.05663                                      1.66369                  210                           427                           220                                    404
              0.302475                  1.0099                              1.74084                           1.12672                                      1.74088                  234                           476                           273                                    476
              0.435224                  1.02399                             1.63867                           1.0237                                       1.63884                  135                           277                           135                                    277
              0.353341                  1.12568                             1.74085                           1.22951                                      1.53595                  219                           393                           248                                    335
              0.323572                  0.938114                            1.70135                           1.22848                                      1.53404                  190                           426                           280                                    374
              0.353343                  0.903424                            1.86181                           1.22886                                      1.58792                  156                           427                           248                                    349
              0.613227                  1.22927                             1.84358                           0.983809                                     1.78063                  100                           201                            60                                    190
              0.30683                   1.0462                              1.84297                           1.22877                                      1.84306                  241                           501                           300                                    501
              0.463613                  0.988866                            1.77683                           1.25037                                      1.82144                  113                           283                           170                                    293
              0.440498                  1.22856                             1.84327                           1.22864                                      1.53683                  179                           318                           179                                    249
              0.504319                  1.11222                             1.95948                           1.22939                                      1.65047                  121                           289                           144                                    227
              0.320924                  0.974652                            1.84397                           1.22798                                      1.5586                   204                           475                           283                                    386
              0.379937                  1.22973                             1.53593                           1.05927                                      1.70538                  224                           304                           179                                    349
              0.468198                  0.921798                            1.84423                           1.22842                                      2.15082                   97                           294                           162                                    359
              0.431876                  1.25861                             1.84351                           1.22806                                      1.53593                  191                           327                           184                                    256
              0.456313                  1.2291                              1.84319                           1.22868                                      1.84326                  169                           304                           169                                    304
              0.387917                  1.22902                             1.84327                           1.22891                                      1.84327                  217                           375                           217                                    375
              0.459284                  0.921708                            1.68819                           1.38393                                      1.8428                   101                           268                           201                                    301
              0.513521                  0.921504                            2.15048                           1.22843                                      1.53591                   79                           319                           139                                    199
              0.328887                  1.22941                             1.59741                           1.16661                                      1.69748                  274                           386                           255                                    416
              0.620981                  1.14891                             1.92324                           1.22838                                      1.6437                    85                           210                            98                                    165
              0.653447                  1.14907                             1.73271                           0.974685                                     1.67332                   76                           165                            49                                    156
              0.602443                  1.22899                             1.84318                           1.20039                                      1.56485                  104                           206                            99                                    160
              0.459568                  1.22968                             1.66263                           1.10153                                      1.60079                  168                           262                           140                                    248
              0.341222                  0.960593                            1.71638                           0.95194                                      1.95229                  182                           403                           179                                    472
              0.426341                  1.19889                             1.56674                           1.06183                                      1.70403                  181                           267                           149                                    300
              0.384046                  1.00122                             1.7225                            1.04337                                      1.84298                  161                           349                           172                                    380
              0.413853                  1.22957                             1.84274                           1.22889                                      1.84283                  197                           345                           197                                    345
              0.41122                   0.882481                            1.86602                           1.24445                                      1.53636                  115                           354                           203                                    274
              0.57518                   1.22934                             1.84296                           1.22879                                      1.84333                  114                           220                           114                                    220
              0.439143                  0.923021                            1.84219                           1.22849                                      1.63915                  110                           319                           180                                    273
              0.318229                  1.19124                             1.64306                           1.12145                                      1.55447                  274                           416                           252                                    388
              0.476665                  0.921897                            1.84317                           1.2291                                       1.62071                   93                           287                           158                                    240
              0.363304                  1.07268                             1.69254                           1.22889                                      1.84314                  195                           366                           238                                    407
              0.44265                   1.22895                             1.8426                            0.92433                                      1.84107                  178                           316                           109                                    316
              0.427544                  1.22985                             2.15036                           1.22848                                      1.84381                  188                           403                           187                                    331
              0.460793                  1.22914                             1.84285                           1.22855                                      1.49247                  167                           300                           167                                    224
              0.425378                  0.971244                            1.8439                            1.22886                                      1.49879                  128                           333                           189                                    252
              0.492219                  0.921137                            1.8437                            0.987188                                     1.77764                   87                           275                           101                                    261
              0.441664                  1.22882                             1.84425                           1.22869                                      1.61669                  178                           318                           178                                    266
              0.362414                  0.922273                            1.53539                           1.2296                                       1.84231                  154                           324                           239                                    408
              0.431465                  0.949461                            1.51344                           0.957654                                     1.58085                  120                           251                           122                                    266
              0.359556                  1.22931                             1.65061                           0.925636                                     1.65601                  242                           359                           157                                    361
              0.534552                  1.22921                             1.66087                           1.41119                                      1.84275                  130                           211                           164                                    245
              0.459151                  1.22749                             1.55406                           1.21093                                      1.84314                  167                           238                           164                                    301
              0.44194                   1.22872                             1.62682                           1.13729                                      1.66509                  178                           268                           157                                    277
              0.614523                  1.22964                             1.84319                           1.20649                                      1.86567                  100                           200                            96                                    204
              0.465016                  0.921629                            1.84322                           1.22905                                      1.84315                   98                           296                           164                                    296
              0.40805                   1.26762                             1.84343                           1.04702                                      1.5288                   211                           352                           157                                    275
              0.578847                  1.24094                             1.84325                           1.22877                                      1.84338                  114                           218                           112                                    218
              0.572845                  1.22872                             1.84354                           1.22859                                      1.84362                  114                           222                           114                                    222
              0.522977                  1.22917                             1.84305                           1.22876                                      1.84342                  135                           252                           135                                    252
              0.423646                  1.22895                             1.75167                           1.01271                                      1.84374                  190                           313                           139                                    335
              0.448622                  0.981773                            1.78323                           1.22886                                      1.84315                  119                           297                           174                                    311
              0.432596                  1.22906                             1.84341                           1.23007                                      1.84179                  184                           326                           184                                    326
              0.462635                  0.921569                            1.8437                            1.22869                                      1.84297                   99                           299                           166                                    298
              0.625557                  1.22899                             1.84339                           1.22898                                      1.84329                   96                           195                            96                                    195
              0.437702                  1.22943                             1.60914                           1.15534                                      1.53634                  181                           268                           164                                    251
              0.417634                  1.06108                             1.62546                           1.30738                                      1.8432                   154                           289                           213                                    341
              0.468795                  1.00152                             1.57458                           0.967106                                     1.59216                  114                           236                           106                                    240
              0.355116                  1.11315                             1.84319                           0.921578                                     1.53575                  213                           419                           160                                    332
              0.389049                  1.22959                             1.84306                           1.53596                                      1.54259                  216                           374                           295                                    297
              0.446553                  1.22865                             1.84348                           1.22895                                      1.84326                  175                           313                           175                                    313
              0.299891                  1.09969                             2.15065                           1.22893                                      1.53526                  267                           617                           310                                    412
              0.464915                  0.921729                            1.61639                           0.961539                                     1.72316                   98                           248                           107                                    271
              0.461879                  1.22915                             1.84275                           1.22943                                      1.84298                  166                           299                           166                                    299
              0.326052                  1.21394                             1.84281                           1.22949                                      1.84271                  272                           465                           277                                    465
              0.452739                  1.03285                             1.73175                           1.2292                                       1.64334                  128                           283                           172                                    263
              0.334125                  4.27309                             1.84305                           1.13271                                      1.76178                 1179                           452                           239                                    427
              0.613302                  0.922189                            1.84319                           0.957726                                     1.80675                   50                           201                            56                                    195
              0.409896                  1.22968                             1.84264                           1.22922                                      1.84297                  200                           350                           200                                    350
              0.373801                  1.22858                             1.8433                            1.22889                                      1.84318                  229                           393                           229                                    393
              0.449569                  0.921323                            1.84307                           1.22939                                      1.84286                  105                           310                           173                                    310
              0.410515                  1.22843                             1.55292                           1.21245                                      1.84288                  199                           278                           195                                    349
              0.614258                  1.22856                             1.84397                           1.22827                                      1.84329                  100                           200                           100                                    200
              0.427204                  0.922091                            1.78723                           0.976612                                     1.84325                  116                           318                           129                                    331
              0.462073                  1.2286                              1.53497                           0.985735                                     1.78475                  166                           232                           113                                    286
              0.408498                  1.22911                             1.84366                           1.22845                                      1.84329                  201                           351                           201                                    351
              0.589786                  1.22884                             1.84347                           0.991215                                     1.77306                  108                           213                            68                                    201
              0.365163                  1.22854                             1.84297                           1.22986                                      1.84211                  236                           405                           237                                    404
