0.880083	0.613731	0.921298	-30	  5
0.339344	0.696023	0.991517	105	192
0.588145	0.615233	0.921789	  5	 57
0.566316	0.614563	0.724419	  9	 28
0.443725	0.614343	0.921701	 38	108
0.597638	0.614747	0.921523	  3	 54
0.32446 	0.614409	0.921745	 89	184
0.33579 	0.852584	0.921558	154	174
0.306789	0.622558	0.922342	103	201
0.604717	0.615972	0.922748	  2	 53
0.61466 	0.61574 	0.926678	  0	 51
0.62192 	0.613717	0.669533	 -1	  8
0.576992	0.794847	0.69582 	 38	 21
0.297866	0.701088	1.23186 	135	314
0.325362	0.614957	0.647062	 89	 99
0.30947 	0.546094	0.687094	 76	122
0.313539	0.517117	0.64617 	 65	106
0.444642	0.614376	0.923007	 38	108
0.337629	0.615366	0.921909	 82	173
0.318146	0.614385	0.922628	 93	190
0.510033	0.683528	0.922247	 34	 81
0.286257	0.576694	0.71783 	101	151
0.262957	0.510788	1.06991 	 94	307
0.576585	0.615233	0.921805	  7	 60
0.284644	0.660604	0.921728	132	224
0.27472 	0.676888	0.921849	146	236
0.360769	0.549053	0.985911	 52	173
0.361871	0.61411 	0.922099	 70	155
0.366111	0.614724	0.921631	 68	152
0.343937	0.614319	0.92189 	 79	168
0.340821	0.614784	0.921946	 80	171
0.35094 	0.613855	0.921849	 75	163
0.533406	0.615512	0.654701	 15	 23
0.35073 	0.592003	0.76442 	 69	118
0.268787	0.491077	0.864837	 83	222
0.33978 	0.614729	0.921829	 81	171
0.344026	0.614553	0.921565	 79	168
0.960069	0.922094	0.921365	 -4	 -4
0.272441	0.556684	0.707669	104	160
0.265851	0.697887	0.921823	163	247
0.349266	0.606667	0.827212	 74	137
0.426228	0.510807	0.726891	 20	 71
0.294465	0.529302	0.993418	 80	237
0.330769	0.921912	0.698585	179	111
0.574948	0.614032	0.924055	  7	 61
0.305102	0.609738	0.922159	100	202
0.30168 	0.921435	0.92264 	205	206
0.337139	0.614221	0.795262	 82	136
0.31853 	0.76388 	0.792757	140	149
0.416337	0.614607	0.921592	 48	121
0.603715	0.919353	0.922704	 52	 53
0.337126	0.614434	0.719015	 82	113
0.499627	0.614135	0.921416	 23	 84
0.299097	0.647512	0.667218	116	123
0.573932	0.614535	0.921938	  7	 61
0.335057	0.614397	0.92239 	 83	175
0.319685	0.632199	0.921645	 98	188
0.363779	0.614771	0.661972	 69	 82
0.50063 	0.920873	0.922107	 84	 84
0.574441	0.614656	0.9217  	  7	 60
0.546616	0.614256	0.92191 	 12	 69
0.470909	0.545463	0.659953	 16	 40
0.372768	0.614308	1.53595 	 65	312
0.62471 	0.618081	0.917581	 -1	 47
0.61444 	0.613742	0.760723	 -0	 24
0.477187	0.614978	0.692962	 29	 45
0.599358	0.614014	0.92167 	  2	 54
0.33084 	0.544124	0.727123	 64	120
0.584475	0.552594	0.984753	 -5	 68
0.344044	0.614355	0.678832	 79	 97
0.584674	0.614113	0.850012	  5	 45
0.411357	0.569353	0.967066	 38	135
0.641374	0.613419	0.921383	 -4	 44
